DATE,MEHOINUSMAA672N
1984-01-01,63359
1985-01-01,64091
1986-01-01,67750
1987-01-01,69603
1988-01-01,69201
1989-01-01,72038
1990-01-01,68959
1991-01-01,65560
1992-01-01,65124
1993-01-01,64755
1994-01-01,69310
1995-01-01,64461
1996-01-01,64287
1997-01-01,66956
1998-01-01,66567
1999-01-01,67735
2000-01-01,69603
2001-01-01,75637
2002-01-01,71046
2003-01-01,71001
2004-01-01,70577
2005-01-01,73511
2006-01-01,70330
2007-01-01,72263
2008-01-01,71800
2009-01-01,70920
2010-01-01,71603
2011-01-01,72125
2012-01-01,71012
2013-01-01,68736
2014-01-01,68264
2015-01-01,73229
2016-01-01,76990
2017-01-01,79517
2018-01-01,87909
2019-01-01,87707
